,predicted prices,Date
0,3151.185041,9/30/2020
1,3148.476069,10/1/2020
2,3218.795817,10/2/2020
3,3136.182826,10/5/2020
4,3191.498794,10/6/2020
5,3115.121859,10/7/2020
6,3182.524016,10/8/2020
7,3199.454973,10/9/2020
8,3275.877186,10/12/2020
9,3437.312625,10/13/2020
10,3450.095949,10/14/2020
11,3370.858883,10/15/2020
12,3340.507963,10/16/2020
13,3280.016898,10/19/2020
14,3211.457808,10/20/2020
15,3216.807623,10/21/2020
16,3190.370436,10/22/2020
17,3177.255828,10/23/2020
18,3204.653893,10/26/2020
19,3209.752989,10/27/2020
20,3282.061292,10/28/2020
21,3178.226289,10/29/2020
22,3202.245036,10/30/2020
23,3059.844146,11/2/2020
24,2997.107626,11/3/2020
25,3049.280213,11/4/2020
26,3228.391572,11/5/2020
27,3328.871626,11/6/2020
28,3313.841425,11/9/2020
29,3156.439605,11/10/2020
30,3033.566345,11/11/2020
31,3131.872992,11/12/2020
32,3119.106384,11/13/2020
33,3125.690419,11/16/2020
34,3135.499518,11/17/2020
35,3136.043466,11/18/2020
36,3109.981665,11/19/2020
37,3116.371624,11/20/2020
38,3103.752321,11/23/2020
39,3098.785774,11/24/2020
40,3119.384393,11/25/2020
41,3183.455008,11/27/2020
42,3199.464999,11/30/2020
43,3170.680892,12/1/2020
44,3217.984223,12/2/2020
45,3209.227293,12/3/2020
46,3187.592626,12/4/2020
47,3166.209314,12/7/2020
48,3158.929657,12/8/2020
49,3178.375951,12/9/2020
50,3111.280731,12/10/2020
51,3099.874685,12/11/2020
52,3118.951884,12/14/2020
53,3156.204334,12/15/2020
54,3168.373965,12/16/2020
55,3237.678339,12/17/2020
56,3242.072118,12/18/2020
57,3203.631041,12/21/2020
58,3207.241121,12/22/2020
59,3208.865455,12/23/2020
60,3188.229861,12/24/2020
61,3174.48083,12/28/2020
62,3278.86324,12/29/2020
63,3326.638407,12/30/2020
64,3289.216973,12/31/2020
65,3259.439217,1/4/2021
66,3191.905345,1/5/2021
67,3215.84214,1/6/2021
68,3147.852752,1/7/2021
69,3157.561273,1/8/2021
70,3186.73588,1/11/2021
71,3119.585972,1/12/2021
72,3119.712655,1/13/2021
73,3166.404555,1/14/2021
74,3132.816085,1/15/2021
75,3105.469942,1/19/2021
76,3121.637913,1/20/2021
77,3257.145297,1/21/2021
78,3311.778908,1/22/2021
79,3294.099551,1/25/2021
80,3295.708101,1/26/2021
81,3326.344564,1/27/2021
82,3241.179284,1/28/2021
83,3235.079137,1/29/2021
84,3212.270364,2/1/2021
