,lstm predicted prices
0,3138.0989
1,3124.6597
2,3106.0535
3,3084.2676
4,3062.7056
5,3041.582
6,3019.0554
7,2994.7683
8,2970.3215
9,2945.532
10,2924.6475
11,2908.7966
12,2899.8591
13,2896.8323
14,2898.3196
15,2903.297
16,2911.9148
17,2919.9878
18,2927.4946
19,2935.1768
20,2943.7976
21,2951.69
22,2957.0469
23,2959.6992
24,2960.6216
25,2959.7734
26,2958.728
27,2960.0813
28,2966.245
29,2976.9626
30,2992.816
31,3013.138
32,3038.5
33,3067.5093
34,3098.7703
35,3128.253
36,3155.4048
37,3179.9702
38,3200.608
39,3215.7617
40,3226.2378
41,3231.0283
42,3231.7354
43,3231.6157
44,3232.1082
45,3234.9534
46,3240.6008
47,3248.4194
48,3255.0198
49,3257.0076
50,3252.662
51,3243.6877
52,3231.153
53,3213.398
54,3192.612
55,3168.3838
56,3142.4395
57,3118.3481
58,3099.1777
59,3084.6118
60,3074.3691
61,3068.3977
62,3064.7056
63,3063.6812
64,3065.319
65,3069.291
66,3073.8872
67,3078.112
68,3081.383
69,3084.0176
70,3084.6816
71,3083.9368
72,3081.931
73,3081.0725
74,3082.457
75,3088.2107
76,3097.9824
77,3111.874
78,3128.665
79,3147.8862
80,3170.5308
81,3195.3965
82,3219.8945
83,3244.037
84,3266.86
85,3285.8032
86,3298.6348
87,3306.5725
88,3310.59
89,3311.354
90,3309.4644
91,3308.1252
92,3313.3977
93,3326.4414
94,3347.128
95,3372.9614
96,3401.2844
97,3428.3757
98,3452.3818
99,3470.6487
100,3480.8906
101,3482.6907
102,3478.0615
103,3469.2764
104,3459.8394
105,3451.9014
106,3447.622
107,3444.8513
108,3443.0273
109,3440.7664
110,3429.143
111,3407.8704
112,3379.9902
113,3348.1155
114,3315.6797
115,3284.0957
116,3254.8188
117,3228.285
118,3204.2183
119,3183.2878
120,3165.514
121,3151.1257
122,3138.3137
123,3125.4678
124,3112.066
125,3098.811
126,3088.353
127,3082.624
128,3081.5188
129,3084.8762
130,3092.792
131,3106.4348
132,3126.2065
133,3150.791
134,3177.642
135,3205.086
136,3232.424
137,3258.9502
138,3282.3657
139,3301.2703
140,3314.94
141,3323.3523
142,3327.9495
143,3330.0815
144,3329.7847
145,3324.2505
146,3313.448
147,3299.6753
148,3285.6958
149,3273.2283
150,3262.452
151,3250.7646
152,3237.514
153,3222.5845
154,3206.636
155,3187.6755
156,3167.3254
157,3148.1692
158,3132.7239
159,3121.3115
160,3112.5325
161,3105.8528
162,3102.0193
163,3101.3125
164,3106.69
165,3118.9575
166,3136.7937
167,3157.3625
168,3179.1836
169,3197.5962
170,3210.661
171,3219.833
172,3226.344
173,3232.606
174,3236.9453
175,3237.5356
176,3234.2659
177,3230.022
178,3228.8413
179,3232.848
180,3240.8674
181,3254.4004
182,3269.3735
183,3283.5637
184,3297.393
185,3311.05
186,3323.9968
187,3336.0354
188,3351.4653
189,3369.7205
190,3386.4116
191,3400.2124
192,3410.5403
193,3414.9893
194,3415.5745
195,3411.696
196,3402.246
197,3388.059
198,3369.1743
199,3348.34
200,3330.4248
201,3317.0242
202,3307.2488
203,3299.3855
204,3291.139
205,3281.7866
206,3274.1387
207,3266.118
208,3258.353
209,3249.3289
210,3241.2678
211,3235.2312
212,3231.5103
213,3229.1077
214,3228.2278
215,3227.7227
216,3226.8762
217,3224.3188
218,3222.3203
219,3219.6465
220,3214.3196
221,3205.7095
222,3193.9927
223,3179.4922
224,3165.7253
225,3153.9946
226,3142.447
227,3131.5627
228,3119.6487
229,3105.1946
230,3085.7769
231,3056.641
232,3020.1555
233,2976.573
234,2928.1567
235,2878.5627
236,2833.449
237,2798.7446
238,2776.8318
239,2766.8772
240,2759.977
241,2764.0852
242,2779.3804
243,2805.9456
244,2840.9375
245,2879.5645
246,2914.842
247,2944.9226
248,2969.6433
249,2989.9954
250,3004.349
251,3011.6619
252,3011.132
253,3000.644
254,2985.6077
255,2970.35
256,2956.8777
257,2944.7124
258,2934.518
259,2923.9211
260,2911.2415
261,2891.6887
262,2864.6797
263,2833.9187
264,2806.6362
265,2784.7888
266,2766.9543
267,2755.9202
268,2755.0327
269,2766.1875
270,2790.1067
271,2824.2888
272,2867.1326
273,2914.2043
274,2961.8809
275,3007.821
276,3052.4934
277,3094.8857
278,3236.9453
279,3237.5356
280,3234.2659
281,3230.022
282,3228.8413
283,3232.848
284,3240.8674
285,3254.4004
286,3269.3735
287,3283.5637
288,3297.393
289,3311.05
290,3323.9968
291,3336.0354
292,3351.4653
293,3369.7205
294,3386.4116
295,3400.2124
296,3410.5403
297,3414.9893
298,3415.5745
299,3411.696
300,3402.246
301,3388.059
302,3369.1743
303,3348.34
304,3330.4248
305,3317.0242
306,3307.2488
307,3299.3855
308,3291.139
309,3281.7866
310,3274.1387
311,3266.118
312,3258.353
313,3249.3289
314,3241.2678
315,3235.2312
316,3231.5103
317,3229.1077
318,3228.2278
319,3227.7227
320,3226.8762
321,3224.3188
322,3222.3203
323,3219.6465
324,3214.3196
325,3205.7095
326,3193.9927
327,3179.4922
328,3165.7253
329,3153.9946
330,3142.447
331,3131.5627
332,3119.6487
333,3105.1946
334,3085.7769
335,3056.641
336,3020.1555
337,2976.573
338,2928.1567
339,2878.5627
340,2833.449
341,2798.7446
342,2776.8318
343,2766.8772
344,2759.977
345,2764.0852
346,2779.3804
347,2805.9456
348,2840.9375
349,2879.5645
350,2914.842
351,2944.9226
352,2969.6433
353,2989.9954
354,3004.349
355,3011.6619
356,3011.132
357,3000.644
358,2985.6077
359,2970.35
360,2956.8777
361,2944.7124
362,2934.518
363,2923.9211
364,2911.2415
365,2891.6887
366,2864.6797
367,2833.9187
368,2806.6362
369,2784.7888
370,2766.9543
371,2755.9202
372,2755.0327
373,2766.1875
374,2790.1067
375,2824.2888
376,2867.1326
377,2755.63
378,2876.65
